耳左耳耵聍栓塞	耵聍栓塞
子宫脱垂Ⅱ度	子宫脱垂Ⅱ度
右侧肾上腺三角区无回声区,右肾上腺囊肿？	肾上腺囊肿？
右肺上叶后段炎症性病变(结核可能性大),病灶较2017-10-24片增多	肺结核
肝多发低回声结节,性质待定,血管瘤？非均质脂肪肝？	脂肪肝
免散瞳眼底照相考虑右眼视网膜毛细血管瘤、硬性渗出灶可能	毛细血管瘤
扁桃体慢性扁桃体炎、双侧II度肿大	扁桃体炎
右肝斑点状强回声,钙化灶？肝血管瘤？	肝钙化灶
右肺上叶前段、右肺中叶内段纤维小结节	肺纤维结节
甲状腺弥漫性肿大、血流信号明显增多,甲状腺机能亢进？	扁桃体肿大
内眼双眼老年性白内障(早期)	白内障
T波改变（I、aVL、V4-V6）	T波改变
双侧乳腺增生伴右侧乳腺低回声结节,BI-RADS2类	乳腺结节 BI-RADS 2类
双上胸膜增厚	胸膜增厚
甲状腺多发低回声结节(右叶大者结节伴钙化)	甲状腺结节
右肺下叶后基底段少许陈旧性病灶	肺陈旧性病灶
外周血管双下肢轻度静脉曲张	下肢静脉曲张
C4-5、C5-6椎间盘突出,继发椎管狭窄	颈椎间盘突出
右上下肺实性小结节	肺结节
子宫内膜稍增厚	子宫内膜增厚
前唇轻度柱状上皮异位	宫颈柱状上皮异位
上腹部膜腹后占位病变(胰腺囊腺瘤或囊肿？)	胰腺囊腺瘤、胰腺囊肿？
右上肺继发型肺结核(钙化、纤维化为主)	继发型肺结核
右肺下叶纤维机化灶	肺纤维灶
C3/4椎间盘突出	颈椎间盘突出
右肺上叶尖段及左肺上叶尖后段陈旧性病灶	肺陈旧性病灶
二尖瓣、三尖瓣微量反流	二尖瓣反流、三尖瓣反流
内科既往史高血压病、冠心病、心脏起搏器植入术后	冠心病、高血压病
残余甲状腺多发无回声结节,考虑滤泡增生	甲状腺结节
胆囊内胆泥淤积	胆泥淤积
右肺尖少许慢性炎症	肺慢性炎症
左下肺及右中肺纤维机化灶	肺纤维灶
甲状腺右叶多发结节伴钙化	甲状腺结节
自诉右侧乳腺纤维腺瘤术后右侧乳腺外上象限低回声结节	乳腺纤维瘤术后、乳腺结节
子宫等回声结节,考虑子宫肌瘤	子宫肌瘤？
右下肺叶间胸膜增厚	胸膜增厚
多发性双肾囊肿,部分囊肿伴囊壁钙化	肾囊肿
白蛋白增高	白蛋白增高
右肝低回声结节,囊肿？血管瘤？	肝囊肿
扫及肝内低密度灶,必要时进一步检查	肝低密度灶
右侧乳腺低回声结节,考虑增生结节,BI-RADS2类	乳腺结节 BI-RADS 2类
甲状腺弥漫性病变伴左叶低回声结节,考虑桥本氏甲状腺炎合并结节	桥本甲状腺结节
双上肺气肿,双肺下叶纤维机化灶	肺气肿、肺纤维灶
右肝内胆管结石或小钙化灶	胆管结石、肝内钙化灶
甲状腺实质回声欠均匀伴多发结节	甲状腺结节
C6/7椎间盘轻度膨隆	颈椎间盘膨出
双肺慢性炎性病变并右肺中叶内侧段部分支气管扩张	支气管扩张
双额顶叶、右侧基底节区散在腔梗及缺血灶	脑缺血灶
CD4/CD8增高	CD4/CD8增高
扁桃体左侧II度肿大	扁桃体肿大
偶发双源室性早搏,偶成对	室性早搏
肝右叶稍低回声区,考虑良性病变,不均匀性脂肪肝？	不均匀性脂肪肝
甲状腺左叶中部背侧低回声结节(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
左侧乳腺无回声结节	乳腺结节
耳双侧耵聍栓塞	耵聍栓塞
左肝外段实质性占位病灶,必要时MRI进一步检查	肝占位性病变
右肾偏大	肾偏大
双侧乳腺增生	乳腺增生
L5/S1椎间盘突出	腰椎间盘突出
左侧乳腺术后缺如	左侧乳腺术后缺如
PGI/PGII降低	PGI/PGII降低
主动脉瓣返流++-+++	主动脉瓣返流
肝实质弥漫性病变,符合肝硬化声像改变	肝硬化
左肾多发囊肿伴囊壁钙化	肾囊肿
甲状腺多发低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
右肝多发高回声小结节	肝结节
C4-5椎间盘膨出	腰椎间盘膨出
右侧乳腺低回声结节,纤维腺瘤？	乳腺纤维瘤？、乳腺结节
子宫颈低回声结节,考虑子宫颈肌瘤	子宫肌瘤
双下肢动脉硬化声像	动脉硬化
子宫后壁较前壁增厚,回声欠均,考虑子宫内膜异位症	子宫内膜异位症
双肺上叶多发肺大泡	肺大泡
左肝内低回声区,考虑不均匀性脂肪肝	不均匀性脂肪肝
右肺上叶继发性肺结核(部分硬结、纤维化)	继发型肺结核
右肺中叶微小结节,较2016-6-18片相仿	肺结节
鼻鼻出血史	鼻出血
自诉畸胎瘤术后,左侧附件区囊性占位	附件囊肿占位？
考虑右膝关节半月板轻度退行性改变	膝关节退行性改变
考虑左肺上叶慢性炎症	肺慢性炎症
肝右叶低回声区,不均匀性脂肪肝？血管瘤？	不均匀性脂肪肝、肝血管瘤？
左下肺背侧段斑片、结节状密度增高影伴空洞形成,考虑感染性病变可能性大,MT待排	肺MT？
慢性支气管炎、肺气肿、肺大泡,伴两上肺陈旧性病灶及胸膜粘连	慢性支气管炎、肺气肿、肺大泡、肺陈旧性病灶
左肺及左肺门钙化灶	肺钙化灶
双侧乳腺多发实性结节,部分结节伴钙化(BI-RADS3类)	乳腺结节 BI-RADS 3类
双侧腹股沟淋巴结肿大	淋巴结肿大
右肺下叶外侧底段微小结节,较2018-8-30片相仿	肺结节
甲状腺右叶实质回声增粗	甲状腺回声增粗
右侧乳腺多发无回声结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
右侧颈动脉内-中膜增厚伴多发斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
血管瘤或囊肿？	肝血管瘤？
脑白质病	脑白质病
腰椎轻度退行性改变、L4/5椎间盘轻度突出	腰椎间盘突出
甲状腺实质回声稍增粗伴分布不均	甲状腺回声增粗
双肾多发无回声区,双肾多发囊肿？多囊肾？	多囊肾？
甲状腺实质回声增粗伴甲状腺右叶结节	甲状腺回声增粗
心房颤动(快心室率型)	心房颤动
右侧乳腺多发无回声区(考虑局部导管扩张或囊肿形成)	乳腺囊肿
左肝多发囊肿	肝囊肿
肝实质回声明显增粗,早期肝硬化？	肝硬化
右中下肺少许纤维化	肺纤维化
双侧乳腺增生伴乳腺局部导管扩张	乳腺增生、乳腺导管扩张
左侧腋窝低回声结节,考虑反应性增生淋巴结可能	腋窝淋巴结反应性增生可能
右侧胸膜轻度肥厚	胸膜肥厚
双肺尖少许陈旧性病灶	肺陈旧性病灶
胆囊壁增厚,考虑慢性胆囊炎	慢性胆囊炎
红外线扫描影像双乳腺增生,左乳头溢乳	乳腺增生
电轴轻度左偏	电轴左偏
右肺下叶、中叶少许慢性炎症	肺慢性炎症
子宫多发低回声结节伴部分钙化,考虑多发性子宫肌瘤伴部分钙化	子宫肌瘤
C3/4、C4/5椎间盘膨隆	颈椎间盘膨出
子宫颈增大伴多发潴留囊肿	子宫颈潴留囊肿
右侧附件区无回声区,输卵管积液？囊肿？	卵巢囊肿？
C5异常信号,考虑小血管瘤	肝血管瘤
甲状腺实质回声增粗伴分布不均,考虑桥本氏甲状腺炎	甲状腺回声增粗
右肺中叶、左肺上叶舌段、双肺下叶少许慢性炎症	肺慢性炎症
甲状腺左叶结节,考虑良性结节	甲状腺结节
肝多发无回声区,多囊肝？	多囊肝？
频速型心房颤动伴心室内差异性传导	心房颤动
晶状体左眼轻度浑浊	晶状体混浊
右肺尖钙化灶,较2017-10-10片相仿	肺钙化灶
左肺上叶、右肺下叶少许慢性炎症	肺慢性炎症
右肝胆管结石	胆管结石
耳右耳鼓膜穿孔	鼓膜穿孔
右肺上叶尖段钙化小结节	肺结节
C4-5、C5-6椎间盘突出(中央型)	颈椎间盘突出
双侧乳腺低回声结节(左乳多发),BI-RADS3类	乳腺结节 BI-RADS 3类
脾内多发高回声结节,考虑血管瘤	肝血管瘤
右乳内上象限低回声结节,BI-RADS3类	乳腺结节 BI-RADS 3类
肝内多发结节,考虑肝血管瘤	肝血管瘤
腰椎轻度骨质增生,L4/5椎间盘突出(中央型)	腰椎骨质增生
双侧乳腺局部导管扩张(BI-RADS3类)	乳腺导管扩张
右下肺少许陈旧病灶,伴胸膜增厚粘连	胸膜增厚、肺陈旧性病灶
白带霉菌阳性	白带霉菌阳性
三尖瓣轻度反流,估测肺动脉收缩压35MMHG	三尖瓣反流
主动脉左侧冠状动脉粥样硬化	动脉粥样硬化
宫颈中度宫颈柱状上皮异位	宫颈柱状上皮异位
右上肺磨玻璃结节,性质待定	肺磨玻璃结节
右下肺后基底段陈旧性结核与前片比较其密度有增高	肺陈旧性病灶
右肺中叶外侧段少许纤维机化灶	肺纤维灶
子宫壁无回声区,考虑剖宫产术后子宫切口憩室	憩室
右肺上叶尖内段慢性炎症性病变并肺大泡	肺大泡
左上肺数个实性小结节	肺结节
膀胱壁稍高回声结节,息肉？	膀胱息肉？
双肾高回声结节,考虑良性病变	肾结节
鼻旁窦炎、鼻炎	鼻旁窦炎、鼻炎
左侧外周血管弹性度稍下降,右侧外周血管弹性度下降	外周血管弹性度下降
左肾盂旁无回声区,肾盂旁囊肿？肾盂局部积液？	肾囊肿
耳左耳耵聍栓塞	耵聍栓塞
主动脉瓣钙化伴轻-中度反流	主动脉瓣钙化
颈椎轻度退行性变,C3/4、C5/6、C6/7椎间盘轻微膨隆	颈椎间盘膨出、颈椎退行性改变
右肺中叶内侧段、下叶外侧底段慢性炎症	肺慢性炎症
双侧基底节、额顶叶及左侧放射冠区多发缺血灶	脑缺血灶
右肺中叶、双肺下叶多发微小结节	肺结节
右肺下叶近膈面微小结节	肺结节
右侧附件区显示不清	附件区显示不清
肝左外叶高回声结节,考虑肝血管瘤	肝血管瘤
大豆阳性	大豆阳性
双侧颈动脉硬化伴斑块形成	动脉硬化
右侧乳腺增生伴局部导管扩张	乳腺增生、乳腺导管扩张
甲状腺左叶等回声结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
右侧颈动脉多发斑块形成	颈动脉斑块形成
分泌物黄绿色、豆渣样	阴道分泌物异常
房性早搏二联律	房性早搏
双肺下叶慢性炎症,较前(2016-12-15)略有吸收	肺慢性炎症
总蛋白增高	总蛋白增高
频发多源室性早搏,偶呈插入性	室性早搏
颈4-6椎体轻度骨质增生及颈5-6椎间隙轻度变窄	骨质增生
甲状腺左叶多发低回声结节(部分结节伴钙化),TI-RADS3类	甲状腺结节 TI-RADS 3类
甲状腺左叶低回声结节,ACRTI-RADS4类(滤泡性肿瘤？)	甲状腺结节 TI-RADS 4类、甲状腺滤泡性肿瘤
右肺上叶支气管扩张、膨胀不全	支气管扩张
频发室性早搏部分呈二联律	室性早搏
右乳外下象限多发结节,导管内乳头状瘤待排除	乳腺结节
双侧乳腺增生伴左乳导管扩张	乳腺增生、乳腺导管扩张
右侧上颌窦炎症可能	上颌窦炎
右肺尖、右中肺少许陈旧病灶	肺陈旧性病灶
左侧肾窦回声增强	肾窦回声增强
左肺下叶多发小结节	肺结节
双上肺慢性炎症	肺炎
左肺舌叶及右中肺内段少许纤维机化灶。左肺门淋巴结钙化	肺纤维灶
双肺尖胸膜下、左肺下叶后基底段散在慢性炎症	肺慢性炎症
附件拒妇检	附件拒绝检查
左肺上叶尖后段陈旧性病灶	肺陈旧性病灶
子宫颈肥厚伴多发潴留囊肿	宫颈囊肿
双侧附件区无回声区,卵泡？	卵泡
脊柱侧弯及退行性变。T10、12椎体内高密度影,T12椎体压缩性改变	脊柱侧弯
肝内低回声区,考虑局灶性肝脂肪浸润缺失	脂肪肝
双侧乳腺多发低回声结节,双乳大者结节纤维腺瘤？	乳腺纤维瘤？、乳腺结节
甲状腺球蛋白抗体(TGA)增高	甲状腺球蛋白抗体(TGA)增高
右肺上叶尖段、下叶后基底段慢性炎症	肺慢性炎症
腰2-4椎体骨质增生及腰3-4椎间隙变窄	腰椎骨质增生
L3-4椎间盘突出(右外侧型)、L5-S1椎间盘突出(中央型),L4-5椎间盘膨出	腰椎间盘膨出
左下肺纤维结节	肺纤维结节
右肺上叶后段、双肺下叶散在慢性炎症并左肺下叶后壁胸膜增厚	胸膜增厚
C4-5椎间盘膨隆	颈椎间盘膨出
子宫下段右侧不均质结节,阔韧带肌瘤？子宫颈潴留囊肿	子宫肌瘤？
双肺部分支气管扩张(右肺上叶为著)	支气管扩张
C3/4、C4/5、C5/6及C6/7椎间盘膨出,伴黄韧带增厚,继发椎管稍狭窄	腰椎间盘膨出
左额部占位,考虑脑膜瘤可能	脑膜瘤
残余甲状腺左叶多发结节	甲状腺结节
第四腰椎向前Ι度滑脱	腰椎滑脱
右肺上叶慢性炎症、肺气肿	肺气肿
甲状弥漫性病变伴多发等回声结节,桥本氏甲状腺炎？	桥本甲状腺结节？
甲状腺多发结节,右叶部分结节伴钙化	甲状腺结节
右肝后叶囊肿	肝囊肿
胆囊结石	胆囊结石
甲状腺左侧叶无回声结节,考虑滤泡增生	甲状腺结节
左侧胸膜肥厚	胸膜肥厚
右肝内稍高回声结节,肝血管瘤可能	肝血管瘤？
尿小圆上皮细胞增高	尿小圆上皮细胞增高
右肺及左肺上叶尖后段微小结节,拟良性病变	肺结节
甲状腺左侧叶多发实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
甲状腺弥漫性病变伴双侧叶结节	甲状腺结节
甲状腺实质回声增粗伴右叶低回声结节	甲状腺回声增粗
甲状腺峡部左侧实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
两肺多发微小结节,拟良性病灶	肺结节
外科既往史甲状腺术后(甲状腺乳头状癌)	甲状腺术后
右肺下叶多发结节影及条片影,考虑炎症所致	肺结节
左肝低回声结节	肝结节
胸腰段脊柱侧弯畸形	脊柱侧弯
左上肺钙化灶	肺部钙化灶
两上肺小泡性肺气肿伴多发肺大泡	肺气肿肺大泡
右腰背部皮下脂肪瘤？	皮下脂肪瘤
右下肺钙化灶	肺钙化灶
左肺结节术后改变,右侧胸膜增厚粘连	肺结节胸膜增厚
双乳钙化影,考虑良性钙化	乳腺良性钙化
右中下肺纯磨玻璃小结节	肺磨玻璃结节
左侧乳腺多发无回声区,考虑囊性增生	乳腺囊性增生
腹膜后等回声区,腹主动脉瘤并发血栓形成？腹膜后淋巴结？	腹主动脉瘤？、腹膜后淋巴结？
右侧乳腺10点处实性结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
右侧附件区混合声结节,生理性囊肿？畸胎瘤待排除	卵巢囊肿？
左侧乳腺多发低回声结节,考虑纤维腺瘤	乳腺纤维瘤？、乳腺结节
右肺下叶胸膜下少许慢性炎症	肺慢性炎症
戊肝抗体阳性	戊肝抗体阳性
右侧卵巢无回声区,考虑卵巢囊肿	卵巢囊肿
双侧乳腺低回声结节(增生结节？)	乳腺增生
二尖瓣、三尖瓣及主动脉瓣轻度反流	二尖瓣反流、三尖瓣反流、主动脉瓣反流
右肺中叶、左肺下叶少许条索影,为慢性炎症所致	肺慢性炎症
左肾偏小伴多发钙化灶	肾钙化灶
子宫多发实性占位,考虑子宫多发肌瘤	子宫肌瘤？
胆囊多发性结石(充满型)	胆囊结石
主动脉瓣返流++,二尖瓣返流++,三尖瓣返流+	二尖瓣反流、三尖瓣反流、主动脉瓣反流
尿粘液丝阳性	尿粘液丝阳性
窦性早搏	早搏
右肺斜裂胸膜下拟良性的小结节,与前片(2017-11-16)片相仿	肺结节
肝右叶稍高回声结节,考虑良性病变	肝良性病变
双眼屈光不正(右眼中度近视+散光,左眼高度近视)	屈光不正
右侧乳腺低回声区	乳腺低回声区
甲状腺右侧叶多发无回声结节,考虑滤泡增生	甲状腺结节
双肺多发结节随访。余肺散在少许慢性炎症	肺结节
残余甲状腺左叶多发实性结节及多发囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
偶发单源性室性早搏	室性早搏
腰椎退行性改变。L5-S1椎间隙变窄,腰骶椎夹角增大	腰椎退行性病变
子宫后方近右侧附件区无回声区,来自右侧卵巢可能性大	右侧附件区无回声区
右肺中叶条索影,为慢性炎症所致	肺慢性炎症
胆囊底部增厚,考虑胆囊肌腺症	胆囊肌腺症
子宫低回声结节,子宫黏膜下肌瘤？	子宫黏膜下肌瘤？
左肺上叶尖后段微小结节,必要时随访复查	肺结节
甲状腺双侧叶囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
右肺炎性病变	肺炎性改变
胆囊壁多发胆固醇结晶	胆囊多发胆固醇结晶
左肝多发实性占位,性质待定	肝占位性病变
甲状腺实质回声增粗伴右叶低回声结节	甲状腺回声增粗
左肺上叶前段磨玻璃结节	肺磨玻璃结节
既往病史(眼科)双眼先天性白内障	白内障
胆囊附壁高回声斑,息肉样病变可能	胆囊息肉？
左肺下叶内前基底段小结节	肺结节
三尖瓣轻度反流,估测肺动脉收缩压40MMHG	三尖瓣反流
肝实质回声明显增粗,考虑肝硬化	肝硬化
子宫底近等回声结节,考虑子宫肌瘤	子宫肌瘤？
左上肺少许纤维机化灶	肺纤维灶
左侧附件区无回声区	附件区无回声区
①轻度脂肪肝②肝内低回声区,考虑非均匀性脂肪肝所致	非均匀性脂肪肝、脂肪肝
左侧颈动脉窦部斑块形成	颈动脉斑块形成
膀胱不充盈,放弃检查膀胱及前列腺	膀胱不充盈
频发房性早搏,部分成对出现	房性早搏
腰椎间盘退行性改变,L4/5、L5/S1椎间盘膨出	腰椎间盘膨出
脾内低回声结节,考虑血管瘤可能	肝血管瘤？
甲状腺左叶部分实质内弥漫点状强回声并增粗	甲状腺回声增粗
右肺中叶及左肺上叶舌段慢性炎症	肺慢性炎症
尿管型计数增高	尿管型计数增高
双侧上颌窦及筛窦少许炎症	鼻窦炎
右肺尖胸膜下少许肺大泡	肺大泡
尿上皮细胞(高倍视野)增高	尿上皮细胞(高倍视野)增高
右肺上叶尖段、下叶背段微小结节	肺结节
胆囊变形	胆囊变形
全血低切粘度(1/S)增高	全血低切粘度(1/S)增高
子宫多发低回声结节,考虑子宫多发肌瘤(其一伴钙化)	子宫肌瘤
右肺中下叶、左肺上叶下舌段散在慢性炎症	肺慢性炎症
左上腹皮下脂肪层内高回声结节,考虑脂肪瘤	脂肪瘤
甲状腺左叶无回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
自诉甲状腺双侧叶切除术后	甲状腺切除术后
右肺下叶背段少许慢性炎症	肺慢性炎症
妇科提示重度宫颈柱状上皮异位	宫颈柱状上皮异位
考虑左下肺背段炎性病灶	肺炎性改变
右侧胸膜局部粘连	胸膜粘连
腰椎退行性改变。L4-L5椎间隙变窄	腰椎退行性病变
双肺散在条片结节影	肺结节
甲状腺双侧可触及多个结节(	甲状腺结节
甲状腺右叶多发低回声结节,大者结节伴钙化	甲状腺结节
左侧附睾多发性囊肿	附睾囊肿
前列腺内无回声区,囊肿？	前列腺囊肿
考虑右下肺良性结节	肺结节
双上肺肺气肿、肺大泡	肺气肿、肺大泡
右上肺纤维化及钙化	肺纤维化
频发室性早搏呈二联律、三联律	室性早搏
三尖瓣轻-中度反流	三尖瓣反流
球蛋白降低	球蛋白降低
主动脉壁及冠状动脉走行区多发钙化	冠状动脉钙化、主动脉钙化
左侧胸膜增厚粘连伴钙化	胸膜增厚
子宫多发低回声结节,其一结节伴钙化,考虑子宫多发肌瘤伴其一钙化	子宫肌瘤
双肺上叶继发型肺结核(已纤维化、钙化)	继发型肺结核
室间隔与左室壁增厚	室间隔增厚
右肩胛骨外侧皮下低回声结节,脂肪瘤？	脂肪瘤
L4/5、L5/S1椎间盘膨隆	腰椎间盘膨出
甲状腺体积增大,实质回声增粗、不均匀	甲状腺回声增粗
左侧附件区无回声区,卵泡？囊肿？	卵泡
胆囊壁增厚,考虑胆囊肌腺症	胆囊肌腺症
鼻双侧鼻粘膜充血、双下鼻甲肥厚	鼻甲肥厚
甲状腺右叶低回声结节,ACRTI-RADS4类	甲状腺结节 TI-RADS 4类
考虑右侧小脑静脉血管畸形	小脑静脉血管畸形
多发性左肾囊肿(部分囊肿伴囊壁钙化)	肾囊肿
三尖瓣轻-中度反流,估测肺动脉收缩压36MMHG	三尖瓣反流
主动脉瓣退行性变伴返流++-+++	主动脉瓣退行性变伴返流
多发性肝左叶胆管结石	胆管结石
右肺上叶炎性病变,不除外结核可能	肺炎性改变、肺结核？
自诉甲状腺左叶切除术后	甲状腺切除术后
胆囊高回声斑,息肉样病变？附壁结石？	胆囊息肉？、胆囊结石？
两上肺多发肺大泡	肺大泡
右上肺慢性炎症性病变	肺炎
左肾局限性积水	肾积水
左肺上叶下舌段及右肺少许慢性炎性病变	肺炎性改变
右侧乳腺低回声区(增生改变?)	乳腺增生
频发单源性室性早搏,时呈二联律	室性早搏
肝内囊肿可能	肝囊肿
肝内胆管小结石或钙化灶	胆管结石
外科既往史甲状腺腺瘤切除术	甲状腺腺瘤
甲状腺多发低回声结节,ACRTI-RADS4类	甲状腺结节 TI-RADS 4类
右肝高回声结节,血管瘤？	肝血管瘤？
右肺上叶尖段支气管扩张	支气管扩张
颈4-6椎体轻度骨质增生及项韧带局部钙化	骨质增生
双肺少许纤维小结节、左下肺少许纤维机化灶	肺纤维结节、肺纤维灶
甲状腺左叶腺体回声不均匀,亚急性甲状腺炎待排	亚急性甲状腺炎
甲状腺左侧叶无回声结节,滤泡增生？	甲状腺结节
外阴外阴色素减退	外阴色素减退
双肾实质多发稍高回声结节,考虑双肾多发错构瘤	肾错构瘤？
考虑双下肺纤维机化灶	肺纤维灶
右侧乳腺多发无回声结节,考虑囊性乳腺增生	乳腺结节
甲状腺右叶近峡部实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
C5-6椎间盘突出(中央型)	颈椎间盘突出
外周血管左下肢静脉曲张	下肢静脉曲张
鼻下鼻甲肥厚	鼻甲肥厚
右肺上叶胸膜下钙化小结节	胸膜钙化
25-(OH)维生素D3降低	维生素D降低
子宫增大子宫如2个月妊娠、轻压痛	子宫增大
左肺上叶继发性肺结核,以纤维硬结为主	继发型肺结核
左侧乳腺皮下脂肪层低回声结节,考虑脂肪瘤可能	乳腺脂肪瘤
右肾未探及,先天肾缺如	右肾未探及
甲状腺右叶下部囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
左侧附睾尾增大,炎症可能	附睾炎症可能
肝右叶高回声结节,肝血管瘤？	肝血管瘤？
考虑右肺中叶内段纤维小结节	肺纤维结节
双肺下叶粟粒样结节	肺结节
二尖瓣反流+	二尖瓣反流
右肾窦无回声,考虑囊肿	肾囊肿
宫颈潴留囊肿	宫颈潴留囊肿
胆囊颈部稍高回声斑,息肉样病变？	胆囊息肉
鳞状上皮癌相关抗原增高	鳞状上皮癌相关抗原增高
双侧下鼻甲肥大	下鼻甲肥大
肝实质回声明显增粗	肝回声增粗
左侧乳腺稍低回声结节,考虑脂肪小叶	乳腺结节
内科既往史胃溃疡	胃溃疡
胆囊泥沙样结石伴胆囊壁增厚毛糙	胆囊结石
耳双耳慢性外耳道炎	慢性外耳道炎
胆囊底部壁局限性增厚,考虑胆囊肌腺症	胆囊肌腺症
双侧颈动脉内-中膜稍增厚伴右侧斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
L4下关节面许莫氏结节,L4/5终板炎	许莫氏结节
右肝结节状稍低密度影	肝结节
右肺中叶及左肺上叶少许慢性炎症	肺慢性炎症
右肝后叶低-无回声结节,肝囊肿？	肝囊肿？
考虑慢性支气管炎、小泡性肺气肿、左肺多发肺大泡。(与2018.2019片比较大致相仿。)	慢性支气管炎、肺气肿、肺大泡
双肺散在少许纤维机化灶	肺纤维灶
左下胸膜增厚粘连	胸膜增厚
颈椎曲度变直,C3-4、C4-5椎间盘轻度膨隆	颈椎间盘膨出
结合膜左眼翼状胬肉(进展期)	翼状胬肉
主动脉壁及冠状动脉钙化	冠状动脉钙化
甲状腺右叶可疑低回声结节	甲状腺结节
甲状腺左叶实性结节伴钙化(TI-RADS3类),考虑腺瘤伴钙化	甲状腺结节 TI-RADS 3类、甲状腺腺瘤
左肺下叶支气管扩张伴感染	支气管扩张
甲状腺实质回声欠均伴右侧叶多发结节,桥本氏甲状腺炎？	桥本甲状腺结节？
左侧乳腺低回声结节,BI-RADS3类,纤维腺瘤？	乳腺结节 BI-RADS 3类
甲状腺右叶多发低回声结节	甲状腺结节
甲状腺左叶靠近峡部低回声结节,TI-RADS3级	甲状腺结节 TI-RADS 3类
考虑左上肺及右下肺陈旧纤维小结节	肺纤维结节、肺陈旧性病灶
左肺上叶微小结节灶,拟良性病变	肺结节
T波改变(I、II、aVL、V5、V6)	T波改变
甲状腺双侧叶囊实性结节,右叶多发(TI-RADS2类)	甲状腺结节 TI-RADS 2类
甲状腺多发结节,部分结节伴钙化	甲状腺结节
子宫多发低回声结节,考虑子宫肌瘤,部分伴钙化	子宫肌瘤
甲状腺左叶多发实性结节(TI-RADS2类),甲状腺右叶多发囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
双侧附件区混合回声结节,考虑畸胎瘤	卵巢畸胎瘤？
总胆固醇增高	总胆固醇增高
双肺多发陈旧性病灶,伴部分邻近胸膜增厚粘连并右前壁胸膜钙化	胸膜钙化、胸膜增厚、肺陈旧性病灶
蝶窦炎	鼻窦炎
甲状腺左叶不均质低回声结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右肺下叶前底段,考虑为慢性炎症	肺慢性炎症
宫颈低回声结节,考虑宫颈肌瘤	宫颈肌瘤
耳右耳慢性中耳炎	慢性中耳炎
甲状腺左叶多发囊性结节	甲状腺结节
右肝低回声结节(血管瘤？)	肝血管瘤？
右上肺及双肺下叶散在慢性炎症并双下胸膜增厚	胸膜增厚
右侧颈部淋巴结肿大,考虑炎性可能	淋巴结肿大
左侧颌下淋巴结可见	颌下淋巴结可见
右侧附件区高回声结节,考虑畸胎瘤	卵巢畸胎瘤
右肺中叶内侧段、左肺下叶后基底段慢性炎症	肺慢性炎症
双肾多囊肾伴部分囊壁钙化	多囊肾
L4-5椎间盘膨隆	腰椎间盘膨出
左输尿管囊肿	输尿管囊肿
左肝低回声区,考虑不均匀性脂肪肝	不均匀性脂肪肝
右侧腋窝低回声结节,淋巴结肿大？	淋巴结肿大
双侧上颌窦慢性炎症,左侧上颌窦粘膜下囊肿	上颌窦囊肿
左胸导联低电压	低电压
偶发心房下部早搏	早搏
右乳外侧约9点钟处乳晕旁低回声结节伴钙化,BI-RADS3类,导管内乳头状瘤？	乳腺结节 BI-RADS 3类
左肾低密度影,囊肿可能	肾囊肿？
三尖瓣轻-中度反流,估测肺动脉收缩压32MMHG	三尖瓣反流
子宫正后方囊性包块(来源于左侧附件区？)	附件囊肿？
甲状腺左叶未探及(自诉甲状腺左叶切除术后)	甲状腺切除术后
右肺中叶内段及左肺纤维小结节	肺纤维结节
甲状腺双侧叶低回声结节(右侧叶多发)	甲状腺结节
右上肺陈旧性结核伴右下胸膜肥厚,以前片对比大致相仿	陈旧性肺结核、肺陈旧性病灶
免散瞳眼底照相考虑双眼视网膜玻璃膜疣可能	玻璃膜疣
多发性肝左胆管结石	胆管结石
右侧脑室旁小缺血灶或脱髓鞘病灶	脑缺血灶
脾脏类圆形稍低密度影,较前增大	脾大
右侧上颌窦及筛窦炎、鼻炎	筛窦炎、鼻炎
双肺上叶少许散在慢性炎症	肺慢性炎症
L5/S1椎间盘退行性改变伴轻度突出	腰椎间盘突出、腰椎退行性变
右肾多发囊肿	肾囊肿
PGI增高	PGI增高
鼻(左侧)下鼻甲肥厚、鼻中隔偏曲	鼻中隔偏曲、下鼻甲肥厚
甲状腺弥漫性病变,桥本氏甲状腺炎可能	桥本甲状腺炎
L4椎体向前Ⅰ°滑脱,伴L4-5间隙平面椎管狭窄,L4/5椎间小关节紊乱退变	腰椎滑脱
